W[18:37:51,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191514 to 172.16.66.12:50300  decided until 2191513 received 2191650
W[18:37:51,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191515 to 172.16.66.12:50300  decided until 2191514 received 2191689
W[18:37:51,163] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191516 to 172.16.66.12:50300  decided until 2191515 received 2191695
W[18:37:51,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191517 to 172.16.66.12:50300  decided until 2191516 received 2191696
W[18:37:51,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191518 to 172.16.66.12:50300  decided until 2191517 received 2191725
W[18:37:51,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191519 to 172.16.66.12:50300  decided until 2191518 received 2191778
W[18:37:51,164] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191520 to 172.16.66.12:50300  decided until 2191519 received 2191815
W[18:37:51,165] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191521 to 172.16.66.12:50300  decided until 2191520 received 2191816
W[18:37:51,165] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191522 to 172.16.66.12:50300  decided until 2191521 received 2191817
W[18:37:51,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191523 to 172.16.66.12:50300  decided until 2191522 received 2191818
W[18:37:51,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191524 to 172.16.66.12:50300  decided until 2191523 received 2191819
W[18:37:51,166] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191525 to 172.16.66.12:50300  decided until 2191524 received 2191820
W[18:37:51,167] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191526 to 172.16.66.12:50300  decided until 2191525 received 2191821
W[18:37:51,167] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191527 to 172.16.66.12:50300  decided until 2191526 received 2191822
W[18:37:51,167] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191528 to 172.16.66.12:50300  decided until 2191527 received 2191823
W[18:37:51,168] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191529 to 172.16.66.12:50300  decided until 2191528 received 2191824
W[18:37:51,168] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191530 to 172.16.66.12:50300  decided until 2191529 received 2191825
W[18:37:51,168] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191531 to 172.16.66.12:50300  decided until 2191530 received 2191826
W[18:37:51,169] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191532 to 172.16.66.12:50300  decided until 2191531 received 2191827
W[18:37:51,169] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191533 to 172.16.66.12:50300  decided until 2191532 received 2191828
W[18:37:51,170] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191534 to 172.16.66.12:50300  decided until 2191533 received 2191829
W[18:37:51,170] [600-RingPiggyProto]RingPaxosPiggyProto: Requesting old decision: 2191535 to 172.16.66.12:50300  decided until 2191534 received 2191830
