W[18:37:27,224] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51330
W[18:37:27,224] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51331
W[18:37:27,225] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51332
W[18:37:27,226] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51333
W[18:37:27,226] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51334
W[18:37:27,227] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51335
W[18:37:27,228] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51336
W[18:37:27,229] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51337
W[18:37:27,229] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51338
W[18:37:27,229] [600-RingPiggyProto]RingPaxosPiggyProto: Asking for accept: 51339
I[18:38:53,000] [Thread-1]HashMapApp: Writes: 7687910, reads: 0
